Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
B6H001,Blyde River @ Willemsoord,518,-24.68025,30.80213,1909-11-11 to 2019-07-30
B6H002,Treur River @ Willemsoord,97,-24.68231,30.8145,1909-12-19 to 1939-03-01
B6H003,Treur River @ Willemsoord,92,-24.68718,30.81368,1959-08-31 to 2019-07-30
B6H004,Blyde River @ Chester,2241,-24.45931,30.82735,1950-11-01 to 2012-01-18
B6H005,Blyde River @ Driehoek,2204,-24.51752,30.83174,1958-08-16 to 2019-08-01
B6H006,Kranskloofspruit @ Krugerspost,43,-24.92735,30.54655,1968-07-31 to 2007-04-19
B6H007,Vyehoek River @ Vygenhoek,86,-24.72481,30.64366,1971-10-20 to 1979-04-17
B6H016,Blyde River @ Willemsoord,518,-24.67981,30.80227,1910-03-06 to 1925-03-27
B6H017,Blyde River @ Middlesex,,-24.31418,30.8562,2005-04-20 to 2009-12-01
B7H001,Klaserie River @ Fleur De Lys,137,-24.55065,31.02645,1938-07-01 to 1950-09-30
B7H003,Selati River @ Calais,84,-24.12262,30.35837,1948-09-21 to 1972-11-23
B7H004,Klaserie River @ Fleur De Lys,136,-24.55622,31.03225,1950-11-01 to 2019-07-30
B7H006,Ngotso River @ Kruger National Park,41,-24.13401,31.6998,1952-11-01 to 1958-11-30
B7H007,Olifants River @ Oxford,46583,-24.18473,30.82299,1955-10-01 to 2019-06-13
B7H008,Selati River @ Masunga River,832,-24.0094,30.67236,1956-04-24 to 1999-01-01
B7H009,Olifants River @ Finale,42472,-24.33116,30.74163,1960-08-30 to 2015-11-17
B7H010,Ngwabitsi River @ Harmony,318,-24.035,30.43356,1960-07-27 to 2019-08-01
B7H011,Mohlapitse River @ Gemini,262,-24.16429,30.10559,1963-01-10 to 1988-07-03
B7H012,Klaserie River @ Casketts,444,-24.33678,31.14673,1965-10-21 to 1973-10-30
B7H013,Mohlapitse River @ Mafefes Location,263,-24.17347,30.10274,1970-08-11 to 2019-08-02
B7H014,Selati River @ Calais,84,-24.12415,30.35551,1973-08-01 to 2019-09-05
B7H015,Olifants River @ Mamba Kruger National Park,49826,-24.06628,31.24288,1987-11-17 to 2019-07-31
B7H019,Ga-Selati River @ Loole,2268,-24.03642,31.12821,1988-10-21 to 2019-07-31
B7H020,Timbavati River @ Piet Grobler Dam Kruger National Park,935.5,-24.231,31.634,1988-12-01 to 2018-05-23
B7H023,Ngwabitsi River @ Tours,58,-24.09263,30.27504,1948-10-01 to 1960-07-31
B7H026,Olifants River @ Balule Kruger National Park,53820,-24.05652,31.72091,1994-07-15 to 2019-07-31
B8H001,Great-Letaba River @ Redbank,272,-23.89403,30.06948,1930-06-25 to 1964-12-29
B8H002,Great-Letaba River @ Manorvlei,658,-23.81737,30.16476,1930-08-21 to 1976-07-05
B8H003,Mooketsi River @ Matomahoek,251,-23.55183,30.1592,1948-07-12 to 1951-07-31
B8H004,Great-Letaba River @ Lucerne,232,-23.92736,30.04309,1948-07-14 to 1960-12-30
B8H005,Broederstroom @ Swallow Falls,17,-23.80209,29.98003,1948-09-10 to 1956-06-30
B8H006,Broederstroom @ Clearwaters,38,-23.85514,29.94808,1948-09-13 to 1954-09-01
B8H007,Great-Letaba River @ Mahale,4608,-23.67099,30.99006,1956-05-01 to 1968-07-24
B8H008,Great-Letaba River @ Letaba Ranch,4710,-23.65837,31.0499,1959-09-14 to 2019-10-12
