#STATION,STNAME,SHORTNAME,LATITUDE,LONGITUDE,ACTIVE,COMMENCE,CEASE,STNTYPE
C2N1086,Hartebeestfontein,VENTERSDORP,-26.88805556,26.77916667,F,1967/06/30,1991/07/31,GW
C2N1087,Hartebeestfontein,VENTERSDORP,-26.85888889,26.76694444,F,1967/06/30,1993/11/30,GW
C2N1088,Hartebeestfontein,VENTERSDORP,-26.86638889,26.79638889,F,1967/06/30,1993/11/30,GW
C2N1089,Hartebeestfontein,VENTERSDORP,-26.86611111,26.79583333,F,1967/06/30,1993/11/30,GW
C2N1090,Hartebeestfontein,VENTERSDORP,-26.86555556,26.79583333,F,1967/06/30,1993/11/30,GW
C2N1091,Hartebeestfontein,VENTERSDORP,-26.86472222,26.79555556,F,1967/06/30,1993/11/30,GW
C2N1092,Hartebeestfontein,VENTERSDORP,-26.86472222,26.79583333,F,1967/06/30,1993/11/30,GW
C2N1093,Hartebeestfontein,VENTERSDORP,-26.86472222,26.79222222,F,1967/06/30,1993/11/30,GW
C2N1094,Hartebeestfontein,VENTERSDORP,-26.86555556,26.79111111,F,1967/06/30,1993/06/30,GW
C2N1095,Jachtfontein,WESRAND,-26.37916667,27.72888889,F,1990/03/01,1994/10/26,GW
C2N1096,Middelvlei,WESRAND,-26.20416667,27.68222222,F,1993/05/27,2009/12/08,GW
C2N1097,Lenasia,WESRAND,-26.31655,27.83179,T,1996/10/15,,GW
C2N1098,Lenasia,WESRAND,-26.32478,27.84503,T,1996/10/15,,GW
C2N1099,Charles Well,VENTERSDORP,-26.83305556,26.78305556,F,1979/05/30,1982/01/30,GW
C2N1100,Charles Well,VENTERSDORP,-26.83444444,26.78083333,F,1979/08/29,1982/02/27,GW
C2N1101,Charles Well,VENTERSDORP,-26.83583333,26.775,F,1979/05/30,1982/02/27,GW
C2N1102,Charles Well,VENTERSDORP,-26.83638889,26.77333333,F,1979/05/30,1982/02/27,GW
C2N1103,Charles Well,VENTERSDORP,-26.83805556,26.75916667,F,1979/05/30,1982/02/27,GW
C2N1104,Charles Well,VENTERSDORP,-26.8275,26.8,F,1979/05/30,1981/10/26,GW
C2N1105,Wolvenfontein Ged. Wolvefontein,NATALSPRUIT,-26.275,27.1,F,1932/04/13,1996/12/30,GW
C2N1106,Roodepan,VENTERSDORP,-26.23305556,26.98333333,F,1957/05/22,1984/05/09,GW
C2N1107,Muiskraal,NATALSPRUIT,-26.43305556,27.11944444,F,1936/02/19,1993/11/09,GW
C2N1108,Goedgevonden,VENTERSDORP,-26.63305556,26.76666667,F,1967/01/19,1977/09/09,GW
C2N1109,Weltevreden,VENTERSDORP,-26.06666667,27.26666667,F,1963/05/25,1989/10/15,GW
C2N1110,Waagkraal,SANNIESHOF,-26.91061111,25.96469444,F,2008/09/24,2009/06/20,GW
C2N1112,Sannieshof Laerskool,LICHTENBURG,-26.53416667,25.80166667,F,1998/02/13,2000/10/17,GW
C2N1113,Modderfontein Ptn. Holfontein,OOS RAND,-26.13916667,28.51805556,F,1985/11/25,2017/09/14,GW
C2N1114,Modderfontein Ptn. Holfontein,OOS RAND,-26.14432,28.52126,T,1985/11/25,,GW
C2N1115,Plot 15 Waters Eye,Oos Rand,-26.94426,27.31442,T,2004/11/25,,GW
C2N1119,Eleazer Ptn. Kosh 3,VENTERSDORP,-26.66353,26.87188,F,2002/04/23,2017/12/13,GW
C2N1120,Eleazer Ptn. Kosh 4,VENTERSDORP,-26.67044,26.86885,T,2002/04/23,,GW
C2N1121,Eleazer Ptn. Kosh 5,VENTERSDORP,-26.66888889,26.84527778,F,2004/11/25,2008/01/31,GW
C2N1124,Wolverand Ptn. Kosh 9,VENTERSDORP,-26.85944444,26.51388889,F,2002/05/28,2004/11/25,GW
C2N1126,Oog Van Schoonspruit,LICHTENBURG,-26.26228,26.87041,F,2001/04/30,2013/10/22,GW
C2N1127,Boschhoek,VENTERSDORP,-26.09166667,26.65333333,F,2001/03/15,2007/05/23,GW
C2N1129,Corsendae,VENTERSDORP,-26.02472222,26.53916667,F,2001/03/22,2013/08/28,GW
C2N1130,Schaapplaats,VENTERSDORP,-26.0273,26.76408,F,2001/03/14,2013/10/22,GW
C2N1131,Zwartrand,VENTERSDORP,-26.10659,26.82088,F,2001/03/14,2010/03/04,GW
